1525.9,4739.7,27592,821.52,7,22.659,0.32193,31.488,4.7076,0
1462,4819.3,28258,830,1,19.523,0.30337,28.389,0.66565,0
1263.3,4764.6,27284,815.2,7,21.171,0.26514,31.872,4.7441,0
1241.9,4751.4,27509,817.14,4,19.392,0.26139,28.175,2.7045,0
1307.3,4788.4,28923,835.87,4,23.347,0.27302,32.834,2.6439,0
1438.2,5108.5,29998,853.89,2,18.913,0.28153,21.703,1.294,0
1218.2,4851.3,27183,814.16,0,14.054,0.25111,29.57,0,0
1476.9,4754.1,28398,831.59,0,13.464,0.31066,19.174,0,0
1254.2,4860.5,28677,833.39,1,12.804,0.25804,26.677,0.66294,0
1422.7,4741.3,28293,829.7,0,13.641,0.30007,22.156,0,0
1304.4,4656,28327,827.61,2,18.633,0.28015,26.647,1.3351,0
1510.4,4694.1,29150,839.59,2,19.137,0.32178,32.126,1.3161,0
1588.6,4887.9,29114,842.13,7,24.023,0.32501,35.744,4.5924,0
1352.6,5014.9,28930,838.65,2,16.464,0.26972,37.469,1.3176,0
1377.9,4752.1,27850,822.96,6,21.936,0.28996,31.925,4.028,0
1389.5,4775.4,28526,832.32,6,20.366,0.29098,35.196,3.9827,0
1572,5054.4,29731,852.21,2,20.125,0.311,31.775,1.2966,0
1797.4,4647.4,27562,823.41,2,16.692,0.38674,45.452,1.3419,0
1353.9,4867.6,28411,830.83,3,19.146,0.27815,38.425,1.9949,0
1441,4735.4,28672,834.28,5,20.097,0.3043,37.95,3.3112,0
1632,4985.3,29841,853.38,14,27.942,0.32737,36.066,9.0637,0
1628.9,4515.8,27516,820.33,9,24.568,0.3607,35.23,6.0614,0
1322.8,5173.9,28473,833.58,8,24.439,0.25567,44.185,5.3023,0
1666.9,4673,26875,812.62,14,27.309,0.35671,47.872,9.5184,0
1379.5,4877.2,30588,858.05,5,22.631,0.28285,42.376,3.2194,0
1445.1,4819.9,27925,826.11,4,21.249,0.29982,24.564,2.6751,0
1492.8,4831.4,28748,836.66,0,16.344,0.30897,23.484,0,0
1362.4,4727.8,28907,836.47,4,19.817,0.28816,24.784,2.642,0
1428.9,4529.3,27097,812.18,1,16.893,0.31549,28.439,0.68025,0
1331.1,5051,29842,849.76,0,15.137,0.26353,26.211,0,0
1792,4983.8,30471,862.66,1,16.228,0.35958,36.207,0.64045,0
1464.8,4656.1,28205,828.94,0,14.392,0.31459,30.856,0,0
1436.1,4673.7,28132,826.99,2,15.445,0.30727,21.356,1.3361,0
1559.1,4782.5,28627,835.34,2,18.239,0.326,38.34,1.3228,0
1379.8,4817.8,28171,827.65,1,15.557,0.2864,32.722,0.66754,0
1423.5,4999.8,30141,854.62,14,27.64,0.28472,31.732,9.0505,0
1387.8,4733.6,28974,837,2,18.535,0.29319,30.829,1.3202,0
1398.7,5147.1,27962,828.55,13,26.582,0.27175,43.265,8.6686,0
1490.6,4905.3,28241,831.61,6,23.588,0.30388,31.278,3.9861,0
1308.6,4936.7,29447,844.33,5,22.32,0.26508,35.559,3.2718,0
1403.1,5182.5,30173,855.53,4,21.886,0.27073,35.93,2.5831,1
1339.6,4781.2,28756,834.71,3,21.465,0.28018,30.931,1.9857,1
1530.4,4892.6,29297,844.59,0,15.061,0.31279,18.638,0,1
1234.8,5107.5,28676,835.63,0,14.937,0.24176,32.489,0,1
